stepsize	distance	function	gradient	dist_dualval1	dist_dualval2	func_dualval1	func_dualval2	func_dualval3	func_dualval4	func_dualval5	func_dualval6	grad_dualval1	grad_dualval2	
2.3535e+00	1.8321e+00	1.8321e+00	1.8321e+00	6.3712e+00	6.3712e+00	1.6079e+00	9.0853e-05	4.4622e-01	3.5311e-05	3.2972e-01	6.7041e-01	1.1502e+00	1.1502e+00	
2.3939e+00	1.9431e+00	1.9431e+00	1.9431e+00	6.6741e+00	6.6741e+00	1.7550e+00	8.0086e-05	4.7281e-01	3.2901e-05	3.3924e-01	6.6088e-01	1.1646e+00	1.1646e+00	
2.4343e+00	2.0573e+00	2.0573e+00	2.0573e+00	6.9834e+00	6.9834e+00	1.8907e+00	8.3422e-05	4.9107e-01	3.4830e-05	3.4241e-01	6.5771e-01	1.1784e+00	1.1784e+00	
2.4747e+00	2.1749e+00	2.1749e+00	2.1749e+00	7.2993e+00	7.2993e+00	2.0313e+00	8.5632e-05	5.1037e-01	3.6840e-05	3.4612e-01	6.5400e-01	1.1918e+00	1.1918e+00	
2.5152e+00	2.2957e+00	2.2957e+00	2.2957e+00	7.6217e+00	7.6217e+00	2.1765e+00	8.7575e-05	5.3060e-01	3.8860e-05	3.5025e-01	6.4988e-01	1.2048e+00	1.2048e+00	
2.5556e+00	2.4198e+00	2.4198e+00	2.4198e+00	7.9506e+00	7.9506e+00	2.3256e+00	8.9394e-05	5.5138e-01	4.0866e-05	3.5452e-01	6.4561e-01	1.2174e+00	1.2174e+00	
2.5960e+00	2.5471e+00	2.5471e+00	2.5471e+00	8.2861e+00	8.2861e+00	2.4785e+00	9.1139e-05	5.7263e-01	4.2847e-05	3.5886e-01	6.4128e-01	1.2296e+00	1.2296e+00	
2.6364e+00	2.6777e+00	2.6777e+00	2.6777e+00	8.6281e+00	8.6281e+00	2.6358e+00	6.0736e-05	5.9473e-01	2.9876e-05	3.6348e-01	6.3661e-01	1.2414e+00	1.2414e+00	
2.6768e+00	2.8115e+00	2.8115e+00	2.8115e+00	8.9768e+00	8.9768e+00	2.7960e+00	6.1961e-05	6.1669e-01	3.1194e-05	3.6782e-01	6.3227e-01	1.2529e+00	1.2529e+00	
2.7172e+00	2.9487e+00	2.9487e+00	2.9487e+00	9.3317e+00	9.3317e+00	2.9598e+00	6.3141e-05	6.3901e-01	3.2480e-05	3.7217e-01	6.2792e-01	1.2639e+00	1.2639e+00	
2.7576e+00	3.0891e+00	3.0891e+00	3.0891e+00	9.6933e+00	9.6933e+00	3.1271e+00	6.4279e-05	6.6161e-01	3.3736e-05	3.7648e-01	6.2362e-01	1.2747e+00	1.2747e+00	
2.7980e+00	3.2327e+00	3.2327e+00	3.2327e+00	1.0061e+01	1.0061e+01	3.2977e+00	6.5379e-05	6.8437e-01	3.4961e-05	3.8068e-01	6.1942e-01	1.2852e+00	1.2852e+00	
2.8384e+00	3.3797e+00	3.3797e+00	3.3797e+00	1.0436e+01	1.0436e+01	3.4724e+00	6.6443e-05	7.0779e-01	3.6156e-05	3.8506e-01	6.1505e-01	1.2954e+00	1.2954e+00	
2.8788e+00	3.5298e+00	3.5298e+00	3.5298e+00	1.0817e+01	1.0817e+01	3.6504e+00	6.7471e-05	7.3132e-01	3.7321e-05	3.8930e-01	6.1081e-01	1.3053e+00	1.3053e+00	
2.9192e+00	3.6833e+00	3.6833e+00	3.6833e+00	1.1205e+01	1.1205e+01	3.8319e+00	6.8472e-05	7.5516e-01	3.8460e-05	3.9353e-01	6.0658e-01	1.3149e+00	1.3149e+00	
2.9596e+00	3.8400e+00	3.8400e+00	3.8400e+00	1.1599e+01	1.1599e+01	4.0170e+00	6.9445e-05	7.7928e-01	3.9574e-05	3.9773e-01	6.0238e-01	1.3243e+00	1.3243e+00	
3.0000e+00	4.0000e+00	4.0000e+00	4.0000e+00	1.2000e+01	1.2000e+01	4.2054e+00	7.0388e-05	8.0361e-01	4.0660e-05	4.0186e-01	5.9825e-01	1.3334e+00	1.3334e+00	
